,property_type,region,area_m2,country,state,city,lat,lon,price_brl
0,apartment,Northeast,110.0,Brasil,Alagoas,Maceió,-9.6443051,-35.7088142,936154.25
1,apartment,Northeast,65.0,Brasil,Alagoas,Maceió,-9.6430934,-35.70484,405666.85
2,house,Northeast,211.0,Brasil,Alagoas,Maceió,-9.6227033,-35.7297953,772327.25
3,apartment,Northeast,99.0,Brasil,Alagoas,Maceió,-9.622837,-35.719556,730066.0
4,apartment,Northeast,55.0,Brasil,Alagoas,Maceió,-9.654955,-35.700227,507083.55000000005
5,apartment,Northeast,56.0,Brasil,Alagoas,Maceió,-9.614414,-35.735621,378635.35000000003
6,apartment,Northeast,68.0,Brasil,Alagoas,Maceió,-9.584755,-35.662909,554580.8999999999
7,apartment,Northeast,187.0,Brasil,Alagoas,Maceió,-9.658285,-35.703827,1248205.7000000002
8,apartment,Northeast,65.0,Brasil,Alagoas,Maceió,,,503963.05
9,apartment,Northeast,90.0,Brasil,Alagoas,Maceió,-9.66082,-35.702976,577295.1
10,apartment,Northeast,137.0,Brasil,Alagoas,Maceió,-9.6637998,-35.7115455,1809898.25
11,apartment,Northeast,101.0,Brasil,Alagoas,Maceió,-9.661504,-35.702961,655307.95
12,house,Northeast,140.0,Brasil,Alagoas,Marechal Deodoro,-9.697809,-35.893414,499282.25
13,apartment,Northeast,250.0,Brasil,Alagoas,Maceió,-9.629426,-35.69973,2333127.3499999996
14,apartment,Northeast,182.0,Brasil,Alagoas,Maceió,,,1560257.0999999999
15,apartment,Northeast,136.0,Brasil,Alagoas,Maceió,-9.64956,-35.73711,814705.3999999999
16,apartment,Northeast,145.0,Brasil,Alagoas,Maceió,-9.6608,-35.705772,1000987.6
17,apartment,Northeast,138.0,Brasil,Alagoas,Maceió,-9.649588,-35.708401,941476.3
18,apartment,Northeast,175.0,Brasil,Alagoas,Maceió,-9.650917,-35.706558,2028334.25
19,apartment,Northeast,133.0,Brasil,Alagoas,Maceió,,,936154.25
20,apartment,Northeast,122.0,Brasil,Alagoas,Maceió,-9.658275,-35.705242,936154.25
21,apartment,Northeast,98.0,Brasil,Alagoas,Maceió,-9.66082,-35.702976,592897.7
22,apartment,Northeast,107.0,Brasil,Alagoas,Maceió,-9.661148,-35.700417,915346.25
23,apartment,Northeast,68.0,Brasil,Alagoas,Maceió,-9.638323,-35.74342,431832.35
24,apartment,Northeast,118.0,Brasil,Alagoas,Maceió,-9.658285,-35.703827,997796.9
25,apartment,Northeast,205.0,Brasil,Alagoas,Maceió,-9.66356,-35.73373,530253.35
26,apartment,Northeast,130.0,Brasil,Alagoas,Maceió,-9.659634,-35.705776,1045372.25
27,apartment,North,93.0,Brasil,Amapá,Macapá,0.0204232,-51.0695784,741746.1
28,apartment,North,117.0,Brasil,Amazonas,Manaus,-3.097695,-60.057747,1248205.7000000002
29,house,North,110.0,Brasil,Amazonas,Manaus,-3.0782332,-60.0047424,592897.7
30,house,North,80.0,Brasil,Amazonas,Manaus,-3.047664,-59.999931,390064.25
31,house,North,104.0,Brasil,Amazonas,Manaus,,,702115.7000000001
32,house,Northeast,138.0,Brasil,Bahia,Salvador,-12.977729,-38.5093,468077.1
33,house,Northeast,202.0,Brasil,Bahia,Lauro de Freitas,,,772327.25
34,house,Northeast,202.0,Brasil,Bahia,Lauro de Freitas,-12.852844,-38.32711,772327.25
35,apartment,Northeast,120.0,Brasil,Bahia,Salvador,-12.993305,-38.45739,436871.95
36,house,Northeast,202.0,Brasil,Bahia,Lauro de Freitas,-12.852844,-38.32711,772327.25
37,apartment,Northeast,82.0,Brasil,Bahia,Salvador,-12.993305,-38.45739,436871.95
38,apartment,Northeast,88.0,Brasil,Bahia,Salvador,-12.964468,-38.417938,842538.85
39,house,Northeast,202.0,Brasil,Bahia,Lauro de Freitas,-12.852844,-38.32711,772327.25
40,apartment,Northeast,127.0,Brasil,Bahia,Salvador,-12.985207,-38.456074,1014167.1000000001
41,house,Northeast,240.0,Brasil,Bahia,Salvador,-13.010818,-38.48336,1872308.55
42,apartment,Northeast,139.0,Brasil,Bahia,Salvador,-12.96049,-38.405239,1012606.85
43,apartment,Northeast,139.0,Brasil,Bahia,Salvador,-12.96049,-38.405239,1028209.4
44,apartment,Northeast,139.0,Brasil,Bahia,Salvador,-12.96049,-38.405239,1636709.7
45,house,Northeast,191.0,Brasil,Bahia,Salvador,-12.930742,-38.365299,655307.95
46,apartment,Northeast,84.0,Brasil,Bahia,Mata de São João,-12.477871,-38.126591,546089.9500000001
47,apartment,Northeast,161.0,Brasil,Bahia,Salvador,,,1890627.5
48,apartment,Northeast,57.0,Brasil,Bahia,Salvador,-12.939807,-38.367931,466516.85
49,apartment,Northeast,182.0,Brasil,Bahia,Salvador,-13.004878,-38.532276,2340385.65
50,house,Northeast,200.0,Brasil,Bahia,Salvador,,,936154.25
51,apartment,Northeast,115.0,Brasil,Bahia,Salvador,-12.993305,-38.45739,1029769.7
52,apartment,Northeast,105.0,Brasil,Bahia,Salvador,-12.996323,-38.481049,530487.4
53,apartment,Northeast,108.0,Brasil,Bahia,Mata de São João,-12.477871,-38.126591,514884.85
54,apartment,Northeast,72.0,Brasil,Bahia,Salvador,-12.965071,-38.435036,717042.65
55,apartment,Northeast,54.0,Brasil,Bahia,Salvador,-12.985207,-38.456074,606940.0
56,apartment,Northeast,55.0,Brasil,Bahia,Salvador,-12.985207,-38.456074,447793.75
57,apartment,Northeast,70.0,Brasil,Bahia,Salvador,-12.985207,-38.456074,772327.25
58,apartment,Northeast,107.0,Brasil,Bahia,Salvador,-13.000443,-38.45739,951756.7999999999
59,apartment,Northeast,186.0,Brasil,Bahia,Salvador,,,2034107.2
60,apartment,Northeast,186.0,Brasil,Bahia,Salvador,-13.009664,-38.486431,2074829.9
61,apartment,Northeast,90.0,Brasil,Bahia,Salvador,-12.964468,-38.417938,885127.6
62,apartment,Northeast,55.0,Brasil,Bahia,Salvador,-12.971756,-38.438103,491480.95
63,apartment,Northeast,224.0,Brasil,Bahia,Salvador,,,1544654.5499999998
64,apartment,Northeast,225.0,Brasil,Bahia,Salvador,-13.002785,-38.519222,1950321.4000000001
65,apartment,Northeast,54.0,Brasil,Bahia,Salvador,-12.972996,-38.47842,397865.55
66,apartment,Northeast,225.0,Brasil,Bahia,Salvador,-13.000443,-38.45739,1272935.75
67,apartment,Northeast,75.0,Brasil,Bahia,Salvador,-12.964468,-38.417938,889655.45
68,apartment,Northeast,75.0,Brasil,Bahia,Salvador,,,531911.9
69,apartment,Northeast,75.0,Brasil,Bahia,Salvador,-12.973443,-38.431145,538567.95
70,apartment,Northeast,150.0,Brasil,Bahia,Salvador,,,1175731.75
71,apartment,Northeast,243.0,Brasil,Bahia,Salvador,-12.941992,-38.403465,2352427.75
72,house,Northeast,99.0,Brasil,Bahia,Lençóis,-12.385784,-41.320999,436871.95
73,apartment,Northeast,68.0,Brasil,Bahia,Salvador,-12.985207,-38.456074,686513.1
74,apartment,Northeast,66.0,Brasil,Bahia,Salvador,-12.973443,-38.431145,612182.4500000001
75,apartment,Northeast,63.0,Brasil,Bahia,Salvador,-12.973443,-38.431145,605635.6
76,apartment,Northeast,90.0,Brasil,Bahia,Salvador,-12.985207,-38.456074,1024631.75
77,apartment,Northeast,76.0,Brasil,Bahia,Salvador,-12.941992,-38.403465,702115.7000000001
78,apartment,Northeast,83.0,Brasil,Bahia,Salvador,-12.937969,-38.381538,766761.7999999999
79,apartment,Northeast,76.0,Brasil,Bahia,Salvador,-12.974552,-38.496819,499282.25
80,house,Northeast,70.0,Brasil,Bahia,Lauro de Freitas,-12.852844,-38.32711,390064.25
81,apartment,Northeast,67.0,Brasil,Bahia,Salvador,-12.991246,-38.492966,688372.95
82,apartment,Northeast,56.0,Brasil,Bahia,Salvador,-12.957254,-38.429649,498419.45
83,house,Northeast,75.0,Brasil,Bahia,Camaçari,,,390064.25
84,apartment,Northeast,83.0,Brasil,Bahia,Salvador,-12.957254,-38.429649,1106968.1
85,apartment,Northeast,83.0,Brasil,Bahia,Salvador,-12.957254,-38.429649,1030103.6
86,apartment,Northeast,90.0,Brasil,Bahia,Salvador,-13.004092,-38.5047,1462410.25
87,apartment,Northeast,89.0,Brasil,Bahia,Salvador,-13.000443,-38.45739,747536.35
88,apartment,Northeast,70.0,Brasil,Bahia,Salvador,-12.98223,-38.43898,824433.6
89,apartment,Northeast,61.0,Brasil,Bahia,Salvador,-12.98223,-38.43898,608500.25
90,apartment,Northeast,122.0,Brasil,Bahia,Salvador,-13.009679,-38.486305,936154.25
91,apartment,Northeast,80.0,Brasil,Bahia,Salvador,-12.949672,-38.409973,662585.0
92,apartment,Northeast,240.0,Brasil,Bahia,Salvador,-13.004092,-38.5047,1716282.8
93,apartment,Northeast,106.0,Brasil,Bahia,Salvador,-13.000443,-38.45739,858141.4
94,apartment,Northeast,132.0,Brasil,Bahia,Salvador,-13.000164,-38.489021,1742409.2999999998
