,property_type,region,area_m2,country,state,city,lat,lon,price_brl,has_city,has_geo,area_missing_flag,geo_resolution,price_per_m2_raw,area_m2_group_median_x,area_m2_imputed,area_imputed_flag,price_per_m2,area_m2_group_median_y,area_m2_group_median
0,apartment,Northeast,110.0,Brasil,Alagoas,Maceió,-9.6443051,-35.7088142,936154.25,1,1,0,2,8510.493181818181,118.0,110.0,0,8510.493181818181,118.0,118.0
1,apartment,Northeast,65.0,Brasil,Alagoas,Maceió,-9.6430934,-35.70484,405666.85,1,1,0,2,6241.028461538461,118.0,65.0,0,6241.028461538461,118.0,118.0
2,house,Northeast,211.0,Brasil,Alagoas,Maceió,-9.6227033,-35.7297953,772327.25,1,1,0,2,3660.3187203791467,175.5,211.0,0,3660.3187203791467,175.5,175.5
3,apartment,Northeast,99.0,Brasil,Alagoas,Maceió,-9.622837,-35.719556,730066.0,1,1,0,2,7374.404040404041,118.0,99.0,0,7374.404040404041,118.0,118.0
4,apartment,Northeast,55.0,Brasil,Alagoas,Maceió,-9.654955,-35.700227,507083.55000000005,1,1,0,2,9219.70090909091,118.0,55.0,0,9219.70090909091,118.0,118.0
5,apartment,Northeast,56.0,Brasil,Alagoas,Maceió,-9.614414,-35.735621,378635.35000000003,1,1,0,2,6761.345535714287,118.0,56.0,0,6761.345535714287,118.0,118.0
6,apartment,Northeast,68.0,Brasil,Alagoas,Maceió,-9.584755,-35.662909,554580.8999999999,1,1,0,2,8155.6014705882335,118.0,68.0,0,8155.6014705882335,118.0,118.0
7,apartment,Northeast,187.0,Brasil,Alagoas,Maceió,-9.658285,-35.703827,1248205.7000000002,1,1,0,2,6674.896791443851,118.0,187.0,0,6674.896791443851,118.0,118.0
8,apartment,Northeast,65.0,Brasil,Alagoas,Maceió,,,503963.05,1,0,0,2,7753.277692307692,118.0,65.0,0,7753.277692307692,118.0,118.0
9,apartment,Northeast,90.0,Brasil,Alagoas,Maceió,-9.66082,-35.702976,577295.1,1,1,0,2,6414.389999999999,118.0,90.0,0,6414.389999999999,118.0,118.0
10,apartment,Northeast,137.0,Brasil,Alagoas,Maceió,-9.6637998,-35.7115455,1809898.25,1,1,0,2,13210.936131386861,118.0,137.0,0,13210.936131386861,118.0,118.0
11,apartment,Northeast,101.0,Brasil,Alagoas,Maceió,-9.661504,-35.702961,655307.95,1,1,0,2,6488.197524752475,118.0,101.0,0,6488.197524752475,118.0,118.0
12,house,Northeast,140.0,Brasil,Alagoas,Marechal Deodoro,-9.697809,-35.893414,499282.25,1,1,0,2,3566.301785714286,175.5,140.0,0,3566.301785714286,175.5,175.5
